#        ID    YR  MO  DY  HR MN     SC      lon      lat    depth    MAG
197412164001  1974  12  16   2  21  30.00 -97.4800  35.3300    10.00    2.6    
197509134001  1975   9  13   1   3  25.00 -97.3690  34.1390     5.00    3.4    
197510124002  1975  10  12   2  11  58.00 -97.4060  34.8160    20.00    3.2    
197511294009  1975  11  29  14  41  29.00 -97.3470  34.5210     5.00    3.5    
197706024013  1977   6   2  23  10  29.00 -94.1900  34.6100    10.00    4.3    
198107114013  1981   7  11  21  23   9.00 -97.6770  34.8840     5.00    3.5    
198205034009  1982   5   3   7  50  54.00 -96.3800  34.0700     5.00    3.0    
198401064014  1984   1   6  17  50  14.00 -95.5800  36.1600     5.00    2.6    
198402034006  1984   2   3   4  27  38.00 -97.3940  34.6570     5.00    3.2    
198403034009  1984   3   3  11   2  42.00 -96.3000  35.5100     5.00    2.6    
198411204018  1984  11  20  10  32  57.00 -97.4140  34.7110     5.00    2.9    
        -1  1985   2  10  14  52  16.00 -98.4100  36.4500     5.00    2.7    
198509184021  1985   9  18  15   5  54.00 -97.0510  33.5480     5.00    3.3    
198509234001  1985   9  23   1  43   3.00 -95.1640  34.6290     5.00    2.9    
198512314033  1985  12  31  18  26  27.00 -97.4840  34.7600     5.00    2.7    
198609044022  1986   9   4  17  17  33.00 -96.5030  34.4770     5.00    2.6    
198612214021  1986  12  21  17  58  32.00 -96.6760  35.1420     5.00    2.8    
198701244024  1987   1  24  16  17   8.00 -98.0970  35.8280     5.00    3.1    
198703144007  1987   3  14   4   4  43.00 -96.3310  34.7900     5.00    2.8    
198706014024  1987   6   1  17  33  44.00 -97.3800  34.6150     5.00    2.9    
198712064030  1987  12   6  17  48  43.00 -97.3940  34.6640     5.00    2.6    
198712084001  1987  12   8   1  40  42.00 -98.0240  36.0550     5.00    3.7    
198712084002  1987  12   8   1  48  45.00 -98.0300  36.0560     5.00    2.5    
198907204005  1989   7  20   2  49  49.00 -98.9810  36.4050     5.00    2.7    
198907204011  1989   7  20   6  50   7.00 -98.8760  36.4340     5.00    3.1    
199002074021  1990   2   7  12  14   2.00 -98.8270  35.6290     5.00    2.5    
199009164035  1990   9  16  21  32  13.00 -95.5300  34.8000     5.00    2.5    
199011154024  1990  11  15  11  41  44.00 -97.5900  34.7600     5.00    3.9    
199101244009  1991   1  24   5  27   0.00 -97.3000  36.3780     5.00    3.0    
199206304008  1992   6  30   1  49  25.00 -96.4210  35.2610     5.00    2.7    
199208104037  1992   8  10  20   4   3.00 -97.4530  34.9820     5.00    2.9    
199210054009  1992  10   5   4   9  44.00 -97.5030  36.4020     5.00    2.8    
199212174007  1992  12  17   4  18   1.00 -97.6000  34.7560     5.00    2.6    
199212174018  1992  12  17   7   4  18.00 -97.5810  34.7440     5.00    3.6    
199301144047  1993   1  14  17  10   6.00 -98.2750  36.5950     5.00    3.1    
199303114007  1993   3  11   1   2  15.00 -95.9300  35.2100     5.00    2.7    
199404294005  1994   4  29   3  59  28.00 -98.0900  36.2500     5.00    3.0    
199407044023  1994   7   4   7  28  28.00 -97.5570  34.6760     5.00    2.8    
199501184038  1995   1  18  15  39  51.00 -97.5960  34.7740     5.00    4.2    
199503234026  1995   3  23  11  12  10.00 -99.6000  36.9000     5.00    2.8    
199504054017  1995   4   5   5  16  31.00 -99.0280  35.2000     5.00    3.0    
199506014021  1995   6   1   4  29  49.00 -96.7320  34.2870     5.00    3.0    
199509154001  1995   9  15   0  33  31.00 -98.6900  36.8700     5.00    4.1    
199512014059  1995  12   1  14  40  37.00 -99.3370  35.0610     5.00    2.9    
199612191032  1996  12  19  16  58  29.00 -97.6470  35.0810     5.00    2.5    
199703111025  1997   3  11  13  31  30.00 -97.4990  34.7200     5.00    2.5    
199709061042  1997   9   6  23   1  38.00 -96.4350  34.6600     5.00    4.5    
199804281029  1998   4  28  14   2  13.00 -98.4160  34.7820     5.00    4.2    
199807071061  1998   7   7  18  44  44.00 -97.5890  34.7190     5.00    3.2    
199810301042  1998  10  30  17  22  41.00 -97.6000  36.8000     5.00    3.5    
199910254059  1999  10  25  23  58  19.00 -99.6590  36.8460    26.10    3.0    
200010084028  2000  10   8  10  24  16.00 -97.9800  35.3930     5.00    2.6    
200201254020  2002   1  25  10  28  31.00 -97.5300  34.0000     5.00    2.6    
200202084049  2002   2   8  16  14   7.00 -98.3610  34.7270     5.00    3.8    
200205314021  2002   5  31   9  10  57.00 -97.6190  34.0250     5.00    3.3    
200210204009  2002  10  20   2  13  18.00 -96.0790  34.2740     5.00    3.4    
200304074035  2003   4   7  10  13   2.00 -97.6950  33.8920     5.00    2.9    
200404224070  2004   4  22  16   2  13.00 -97.6770  34.8040     5.00    2.9    
200406084002  2004   6   8   0  10  15.00 -97.2540  34.2330     5.00    3.5    
200406104055  2004   6  10  12  10  30.00 -97.2670  34.2360     5.00    2.9    
200409104019  2004   9  10   6  21  39.00 -98.0480  35.3690     5.00    2.8    
200411224066  2004  11  22  23  13  42.00 -97.6720  34.8640     5.00    3.0    
200504224028  2005   4  22   5   4  17.00 -95.1920  34.1790     5.00    3.0    
200505164079  2005   5  16  22  47  29.00 -97.6080  35.2500     5.00    2.8    
200505194005  2005   5  19   1  44   2.00 -98.0690  34.3200     5.00    2.5    
200603154034  2006   3  15   8  26  30.00 -96.3000  35.0910     5.00    3.0    
200604054061  2006   4   5  18  23  46.00 -97.3140  34.0690     5.00    3.0    
200608094043  2006   8   9   9  51  41.00 -97.3680  34.5890     5.00    2.9    
200608164047  2006   8  16  13  39  12.00 -97.3720  34.5080     5.00    2.6    
